id,apellido,nombre,telefono_primario,telefono_tipo,email,estado_cliente,peliculas_rentadas
9044526861,Astin,Shavez,22503745,2,petersko@outlook.com, False, False
9044852026,Walker,Aubrey,22508589,3,openldap@outlook.com, False, False
9044054379,Johnson,Khamesha,22507272,2,uqmcolyv@optonline.net, False, False
3058107878,Lipford,Georgette,22508257,3,iamcal@icloud.com, True, False
9047771262,Kohn,Flora,87657734,1,raines@gmail.com, True, False
9044803081,Vaughn-Bowman,Rashunda,82337350,1,bhtower@yahoo.ca, True, True
9046017804,Bows,Ladricka,82332069,1,oechslin@sbcglobal.net, True, False
9048036423,Davis,Chenoa,82334361,1,stern@comcast.net, True, False
9046720208,Brown,David,82335793,1,willg@verizon.net, True, False
9044447875,Smith,Tia,82333018,1,anicolao@comcast.net, True, False
9047636654,Coleman,Latasha,82337292,1,torgox@msn.com, False, False
9043239879,Williams,Zaveia,23655695,2,rddesign@optonline.net, False, False
9046107779,Brown,Kendra,22225379,2,dalamb@outlook.com, False, False
9048056673,Gray,Vershonda,23458230,2,jnolan@comcast.net, True, False
9047756312,Ross,Contrice,26539416,3,osrin@outlook.com, True, False
9045541163,Jackson,Britni,29059273,2,mchugh@yahoo.ca, True, False
9047048143,Williams,Sheena,24243641,2,fangorn@yahoo.com, True, False
9045888162,Brown,Clanzenetta,29905012,3,harryh@att.net, True, False
9048874764,Campbell,Shantrell,87626438,1,jemarch@me.com, True, False
9042583514,Canady,Starlette,78919558,1,bryanw@hotmail.com, True, False
9049302478,Creech,Sharon,23457292,2,mthurn@yahoo.ca, True, True
9047167334,Charles,Ashley,29908589,3,granboul@optonline.net, True, False
1606279531, srhg, ssrx,12345678,2, roger@ulate, True, False
4173384750, Fe1, Aekegv,12345678,1, roger.p.designe357@gmail.com, True, False
1034899185, Ulate, Priscilla,12345678,2, roger.p.designe357@gmail.com, True, False
8871660687, Rivera, Priscilla,12345678,3, priscilla@ulate.com, True, False
4010291449, Vergana te lechea, Sergio,0,2, sergioTeLechea@vergara.com, True, False
6568415703, Agsrb, Svtcjytr,0,1, roger@las, True, False
6817085352, Asrsb, Srbdtb,0,1, ro@ulate, True, False
1658730922, Kjafgaf, Lkshefioe, None, 1, roger@ulate, True, False
9098615162, Cesguera, Ricardo, , 2, roger@ulate.com, True, False
2080663251, Monster, Ducati, 12345678, 1, roger@ducati.com, True, False
4733262879, Lalala, Cecece, 123456789, 3, kjaekeq@kjwyfckje.com, True, False
